area,bedrooms,bathrooms,stories,parking,mainroad,guestroom,basement,hotwaterheating,airconditioning,prefarea,furnishingstatus,region,price
253,2,3,2,2,no,yes,yes,no,no,no,unfurnished,Igbo-Ora,163361
378,5,2,1,1,yes,no,yes,no,yes,no,semi-furnished,Eruwa,195213
252,4,1,2,3,no,no,no,no,yes,yes,furnished,Iresa-Apa,192381
367,3,1,2,2,no,yes,no,no,no,no,unfurnished,Igbeti,153612
350,3,1,1,3,yes,no,no,no,yes,yes,semi-furnished,Ilora,165892
390,4,1,2,3,no,no,yes,yes,no,yes,furnished,Iresa-Apa,187127
308,2,1,2,2,yes,yes,no,yes,yes,no,semi-furnished,Ibadan,170947
205,1,1,1,0,no,yes,yes,no,yes,yes,semi-furnished,Alabata,142155
155,2,3,1,1,yes,yes,no,no,yes,yes,unfurnished,Erunmu,169020
283,2,2,2,0,yes,no,yes,no,no,yes,furnished,Ayete,175484
179,2,3,2,1,yes,no,no,yes,no,yes,unfurnished,Iseyin,175118
326,2,1,2,3,no,yes,no,no,no,no,furnished,Iresa-Apa,160630
258,3,1,2,2,yes,yes,no,no,yes,no,unfurnished,Ilora,163016
381,2,1,1,1,yes,yes,yes,no,no,yes,semi-furnished,Okeho,158722
194,1,3,2,1,yes,no,yes,yes,yes,no,unfurnished,Otu,161627
271,3,1,1,3,no,no,yes,yes,no,no,furnished,Erunmu,175398
262,5,3,1,2,yes,no,yes,yes,no,no,unfurnished,Igangan,185008
98,1,1,1,2,no,yes,yes,no,no,yes,furnished,Ayete,148976
223,5,1,1,3,yes,no,yes,yes,no,yes,furnished,Tede,192177
188,5,2,2,2,no,yes,no,yes,yes,yes,unfurnished,Kisi (Kishi),191741
318,4,1,2,1,no,yes,yes,no,yes,no,unfurnished,Igbo-Ora,168903
362,2,2,1,0,yes,no,yes,no,no,yes,unfurnished,Igangan,150501
224,1,1,2,3,no,no,yes,yes,yes,no,semi-furnished,Eruwa,159605
252,5,2,2,1,no,no,no,no,yes,yes,unfurnished,Eruwa,194716
269,1,3,2,0,yes,no,yes,no,yes,no,semi-furnished,Fiditi,164317
239,5,1,1,0,no,no,yes,yes,no,yes,furnished,Ado-Awaye,191038
126,1,1,2,2,yes,yes,yes,no,no,yes,furnished,Jobele,160744
91,2,2,2,3,no,yes,no,no,no,no,semi-furnished,Igbo-Ora,173584
395,2,1,1,3,no,yes,no,yes,yes,yes,unfurnished,Otu,149754
319,5,1,2,2,yes,no,no,yes,no,yes,furnished,Jobele,190604
391,2,3,1,0,yes,no,yes,no,yes,no,furnished,Sepeteri,169113
296,3,3,1,0,yes,no,yes,yes,yes,yes,unfurnished,Tede,180638
85,4,1,1,2,yes,no,yes,yes,yes,yes,unfurnished,Saki,171234
162,1,1,2,0,no,yes,yes,yes,yes,no,semi-furnished,Ibadan,143786
367,2,3,2,2,no,no,no,no,no,yes,furnished,Ago-Amodu,171198
133,4,1,2,1,yes,yes,yes,no,yes,yes,furnished,Awe,185917
145,3,3,1,1,no,no,no,no,no,no,semi-furnished,Erunmu,166934
387,1,2,1,3,yes,no,no,yes,no,yes,unfurnished,Saki,145827
217,1,2,1,3,no,no,yes,no,no,yes,semi-furnished,Ilora,148354
314,3,3,1,2,yes,yes,yes,no,yes,yes,semi-furnished,Tede,192217
263,1,3,2,2,yes,yes,no,no,yes,no,furnished,Ado-Awaye,179206
249,5,2,1,1,yes,yes,yes,no,no,no,semi-furnished,Sepeteri,196369
152,2,1,1,0,no,yes,no,no,yes,yes,unfurnished,Sepeteri,147328
87,1,3,1,3,yes,yes,yes,no,no,no,semi-furnished,Iresa-Apa,162585
157,2,1,2,1,yes,no,yes,yes,yes,yes,furnished,Lalupon,169655
353,2,2,1,2,yes,no,yes,yes,yes,no,semi-furnished,Eruwa,177125
352,2,2,2,0,yes,yes,no,yes,no,no,furnished,Lanlate,169131
190,2,3,2,3,yes,no,yes,no,yes,yes,semi-furnished,Igbeti,188629
305,3,3,1,1,yes,yes,yes,yes,no,yes,semi-furnished,Igboho,181147
191,4,2,1,1,no,no,yes,no,yes,yes,furnished,Ogbomosho,180545
119,5,3,2,1,no,no,yes,no,yes,no,semi-furnished,Sepeteri,202512
141,1,2,1,2,no,no,yes,yes,no,yes,semi-furnished,Ayete,151038
354,4,1,2,0,no,yes,yes,no,no,no,semi-furnished,Saki,164687
218,4,1,1,2,yes,no,no,no,no,yes,furnished,Okeho,174309
92,2,1,1,0,yes,yes,yes,yes,yes,no,semi-furnished,Iroko,151950
173,1,1,2,3,no,no,no,yes,no,yes,unfurnished,Oyo,151884
114,1,2,2,3,yes,no,yes,yes,yes,no,semi-furnished,Ogbomosho,171094
84,3,3,2,1,no,no,yes,yes,no,yes,semi-furnished,Igbo-Ora,179930
183,3,1,2,0,yes,yes,yes,yes,yes,yes,unfurnished,Awe,172705
388,3,3,1,1,no,yes,yes,yes,no,no,furnished,Awe,181728
368,4,2,1,2,no,yes,no,yes,yes,yes,unfurnished,Iresa-Adu,188174
368,4,2,2,1,yes,yes,no,yes,no,no,unfurnished,Awe,177211
295,4,3,1,3,yes,yes,yes,no,no,yes,semi-furnished,Iresa-Adu,204953
194,3,2,1,2,yes,no,yes,no,no,no,semi-furnished,Igboho,173969
102,2,2,1,3,no,yes,no,no,no,yes,unfurnished,Awe,146337
250,4,1,2,0,no,yes,no,yes,no,yes,semi-furnished,Lanlate,172446
375,1,2,1,2,yes,no,yes,yes,no,no,semi-furnished,Iroko,164131
80,3,3,1,2,yes,yes,yes,no,no,yes,unfurnished,Ayete,180624
370,4,1,2,2,no,no,yes,no,yes,no,furnished,Sepeteri,183633
330,3,2,2,0,yes,no,no,yes,no,yes,unfurnished,Alabata,161407
233,4,2,1,0,yes,yes,no,yes,yes,no,semi-furnished,Igangan,183081
128,1,1,2,2,yes,yes,no,yes,no,no,semi-furnished,Alabata,152332
365,3,2,1,1,yes,yes,no,no,no,no,unfurnished,Ago-Amodu,164310
245,3,3,2,0,no,yes,yes,yes,yes,no,semi-furnished,Okeho,183318
241,4,1,1,2,no,no,no,yes,yes,no,unfurnished,Jobele,167203
334,5,2,1,2,yes,yes,yes,yes,no,yes,semi-furnished,Ogbomosho,193813
167,3,1,2,0,no,yes,yes,no,no,yes,semi-furnished,Eruwa,170867
230,5,3,2,0,yes,no,yes,no,no,no,unfurnished,Awe,200128
313,2,3,1,2,no,no,yes,yes,no,no,semi-furnished,Lanlate,163648
359,1,2,2,3,yes,no,yes,no,no,yes,semi-furnished,Ado-Awaye,155368
88,2,1,1,2,yes,no,no,yes,no,no,semi-furnished,Ayete,154812
177,5,3,2,1,no,yes,no,no,yes,no,semi-furnished,Sepeteri,202760
166,5,2,2,0,yes,yes,yes,no,yes,no,semi-furnished,Fiditi,201890
388,2,1,1,1,yes,no,no,no,no,no,semi-furnished,Iresa-Apa,144881
272,3,1,2,2,no,yes,yes,yes,no,yes,unfurnished,Iresa-Adu,168406
311,3,2,2,2,yes,no,no,no,yes,no,unfurnished,Ayete,168270
318,4,3,1,3,yes,yes,no,yes,yes,yes,semi-furnished,Lanlate,192743
152,1,1,1,0,yes,yes,no,no,yes,yes,furnished,Ogbomosho,145012
187,4,3,2,1,no,no,yes,yes,no,yes,furnished,Sepeteri,191939
96,2,1,1,0,yes,no,no,no,no,yes,furnished,Otu,156824
294,5,2,2,1,no,yes,no,yes,no,yes,furnished,Ayete,207319
126,2,3,1,2,no,yes,no,no,yes,no,furnished,Otu,169862
255,2,3,1,0,no,yes,no,no,yes,yes,semi-furnished,Iresa-Adu,175220
182,1,2,1,3,yes,no,no,yes,no,yes,unfurnished,Kisi (Kishi),142893
262,4,3,1,3,yes,no,yes,no,yes,yes,semi-furnished,Ibadan,202047
187,2,3,1,1,no,no,yes,yes,yes,yes,semi-furnished,Ogbomosho,167141
381,4,1,2,0,yes,no,yes,no,yes,no,furnished,Jobele,180266
144,1,3,1,1,no,no,no,no,no,no,unfurnished,Jobele,144006
152,1,1,2,3,no,yes,no,yes,yes,yes,furnished,Iresa-Apa,160565
374,3,2,1,1,yes,yes,no,no,yes,no,unfurnished,Igangan,165946
322,5,2,2,2,no,yes,no,yes,yes,no,furnished,Akinmoorin,213486
340,1,1,1,3,no,yes,yes,yes,no,yes,semi-furnished,Ago-Amodu,157251
82,3,2,1,3,yes,yes,yes,yes,no,no,unfurnished,Oyo,181084
184,3,3,2,0,yes,yes,yes,no,no,no,unfurnished,Awe,173672
340,3,3,2,3,no,yes,no,no,yes,yes,semi-furnished,Ago-Amodu,187928
395,5,1,1,0,no,no,yes,no,no,yes,furnished,Ayete,176566
119,2,3,1,0,yes,no,no,yes,no,no,unfurnished,Iresa-Adu,162683
348,3,1,1,0,no,no,yes,yes,no,no,furnished,Saki,170846
124,2,1,1,2,yes,no,no,no,yes,yes,semi-furnished,Eruwa,151618
161,4,2,2,0,yes,no,yes,no,no,yes,semi-furnished,Iresa-Adu,173941
312,1,3,2,3,no,no,yes,yes,no,no,furnished,Erunmu,174278
153,1,2,1,3,no,yes,no,yes,yes,no,semi-furnished,Iseyin,161292
96,4,2,1,1,no,yes,no,no,no,yes,semi-furnished,Ago-Amodu,171279
254,5,3,1,3,yes,no,yes,yes,yes,yes,semi-furnished,Awe,215684
137,2,2,2,1,yes,no,yes,yes,yes,yes,furnished,Awe,179763
364,5,3,2,3,no,yes,no,no,no,yes,furnished,Ogbomosho,223100
315,4,1,1,2,no,yes,yes,no,no,yes,unfurnished,Saki,165201
336,2,2,1,1,yes,yes,no,yes,yes,no,semi-furnished,Awe,175319
106,4,2,1,0,yes,yes,no,yes,yes,no,semi-furnished,Igbeti,178872
260,4,2,1,3,no,yes,yes,no,no,yes,unfurnished,Erunmu,182847
307,1,2,2,0,no,yes,no,no,yes,yes,semi-furnished,Akinmoorin,160502
143,5,1,2,0,no,no,no,no,no,yes,furnished,Igboho,181869
380,1,1,2,1,yes,no,yes,no,yes,no,unfurnished,Sepeteri,140631
125,4,1,2,3,no,no,no,yes,no,yes,unfurnished,Lanlate,174861
156,4,2,2,2,no,no,yes,no,no,no,semi-furnished,Awe,173821
185,4,1,2,2,yes,yes,yes,no,yes,no,unfurnished,Eruwa,170477
283,2,2,2,1,yes,yes,yes,yes,yes,no,semi-furnished,Ayete,180820
82,1,2,2,2,no,no,no,yes,no,yes,unfurnished,Ilora,154060
201,3,3,2,3,yes,no,yes,yes,yes,yes,furnished,Fiditi,204186
290,5,1,1,2,no,no,yes,yes,yes,yes,semi-furnished,Awe,179802
384,5,3,2,0,no,no,yes,no,no,no,semi-furnished,Igbeti,183875
231,2,1,1,3,yes,no,no,yes,no,no,semi-furnished,Awe,158326
341,2,3,1,1,no,yes,no,yes,yes,no,unfurnished,Awe,171680
179,2,2,2,1,yes,yes,yes,no,yes,yes,semi-furnished,Igangan,165541
93,1,2,1,1,yes,yes,yes,yes,no,no,furnished,Saki,162703
243,5,3,1,2,yes,no,yes,no,no,no,semi-furnished,Alabata,199298
336,5,3,2,0,yes,no,no,no,no,yes,furnished,Saki,214798
283,5,1,1,3,no,no,no,yes,yes,no,furnished,Alabata,186354
209,1,3,1,3,no,yes,yes,yes,yes,no,unfurnished,Otu,155223
240,1,3,2,3,no,no,yes,no,no,yes,furnished,Erunmu,174704
385,5,1,1,2,no,yes,yes,no,yes,no,semi-furnished,Igbeti,184219
205,5,2,2,3,yes,no,no,yes,yes,yes,unfurnished,Igboho,193637
165,2,1,1,2,no,yes,no,no,no,no,unfurnished,Ayete,136544
382,1,3,2,0,no,no,yes,yes,yes,yes,semi-furnished,Otu,162429
148,1,2,2,3,no,no,no,no,yes,yes,unfurnished,Lanlate,153715
348,1,1,1,2,yes,yes,no,no,yes,no,semi-furnished,Iseyin,143854
161,5,1,1,2,yes,yes,yes,no,no,no,furnished,Jobele,204961
222,1,2,1,2,yes,yes,no,yes,yes,yes,unfurnished,Sepeteri,159547
346,3,2,2,1,no,no,yes,yes,yes,no,semi-furnished,Igboho,166907
232,4,1,2,3,yes,yes,no,no,yes,yes,furnished,Igboho,204333
100,3,3,2,2,yes,no,yes,yes,no,yes,furnished,Awe,199111
356,5,2,1,1,no,yes,no,no,yes,no,semi-furnished,Iresa-Adu,188664
318,4,3,2,3,no,no,no,no,no,yes,unfurnished,Iseyin,176727
342,4,2,1,0,yes,yes,yes,no,yes,no,unfurnished,Okeho,176377
342,1,1,2,2,yes,yes,yes,no,no,yes,semi-furnished,Iresa-Apa,166191
88,2,2,1,0,no,no,no,no,yes,no,furnished,Saki,160777
231,3,3,2,0,no,yes,no,no,yes,yes,semi-furnished,Saki,187021
187,2,1,1,0,yes,no,no,yes,yes,yes,furnished,Kisi (Kishi),162095
157,5,1,1,1,yes,no,no,yes,yes,yes,semi-furnished,Ogbomosho,189328
267,3,2,2,1,no,yes,yes,no,no,no,unfurnished,Ibadan,163178
152,1,3,2,0,yes,no,yes,yes,no,no,unfurnished,Fiditi,146370
239,5,2,2,1,yes,no,no,yes,no,yes,semi-furnished,Igboho,191444
294,4,2,2,0,yes,no,yes,no,no,no,semi-furnished,Fiditi,185258
366,1,3,2,1,no,no,yes,yes,no,no,unfurnished,Tede,151953
215,4,3,2,1,yes,yes,no,yes,no,no,unfurnished,Igbeti,185630
200,5,2,2,1,no,yes,no,yes,yes,no,semi-furnished,Igbeti,205169
221,4,1,1,1,yes,no,yes,yes,no,yes,unfurnished,Lanlate,178985
259,2,2,1,1,yes,no,yes,yes,no,no,unfurnished,Igbeti,148402
318,1,2,2,1,yes,yes,no,no,no,no,semi-furnished,Igboho,164112
86,4,2,1,2,yes,yes,no,yes,no,yes,semi-furnished,Lalupon,183337
335,2,1,2,0,yes,no,yes,no,yes,no,unfurnished,Lalupon,145592
317,5,3,1,0,no,yes,yes,yes,no,no,unfurnished,Oyo,194932
104,4,1,2,3,no,no,no,no,yes,yes,semi-furnished,Igbeti,189940
395,5,3,2,1,no,yes,yes,yes,yes,yes,furnished,Oyo,214463
209,3,2,1,2,no,yes,yes,yes,yes,yes,furnished,Otu,183493
235,3,3,2,3,no,yes,no,no,yes,no,unfurnished,Saki,170557
387,5,2,1,1,yes,yes,no,yes,no,no,unfurnished,Ogbomosho,177484
308,5,2,1,1,yes,no,no,yes,yes,no,semi-furnished,Awe,193440
217,2,3,1,0,yes,yes,no,no,yes,yes,unfurnished,Ago-Amodu,167393
252,4,1,1,0,no,yes,yes,yes,no,no,furnished,Otu,179009
275,2,2,2,2,yes,yes,no,yes,no,no,unfurnished,Okeho,164011
192,1,1,2,0,yes,yes,no,no,no,yes,unfurnished,Okeho,148623
356,4,3,1,1,no,yes,no,no,yes,yes,unfurnished,Iresa-Apa,186696
166,5,1,2,0,yes,yes,yes,yes,yes,no,furnished,Akinmoorin,203110
212,4,1,2,1,yes,no,no,yes,no,yes,furnished,Eruwa,186024
87,2,2,1,3,no,no,yes,yes,no,no,unfurnished,Lanlate,163828
128,4,2,2,1,yes,yes,yes,no,yes,no,furnished,Ago-Amodu,202729
228,4,3,2,1,no,yes,yes,no,yes,no,semi-furnished,Kisi (Kishi),200045
350,1,2,1,0,yes,no,yes,no,no,no,unfurnished,Ago-Amodu,141025
292,4,3,2,0,no,yes,yes,no,no,no,furnished,Eruwa,195196
347,1,3,2,0,yes,no,yes,no,no,no,semi-furnished,Eruwa,162306
303,3,2,2,2,yes,no,no,yes,yes,no,semi-furnished,Alabata,183015
362,2,3,1,2,yes,no,no,yes,no,yes,unfurnished,Alabata,156186
263,3,3,2,2,yes,yes,no,yes,no,yes,unfurnished,Saki,181868
265,1,1,1,0,no,no,yes,no,no,no,semi-furnished,Kisi (Kishi),125845
89,5,2,1,2,yes,no,yes,no,yes,yes,semi-furnished,Okeho,206478
393,4,1,2,1,yes,no,yes,yes,no,yes,furnished,Iroko,193052
290,5,2,2,2,yes,no,no,no,no,no,furnished,Ayete,193278
309,5,2,2,2,yes,no,no,no,no,no,unfurnished,Ilora,191924
352,4,1,2,2,no,yes,no,no,yes,no,semi-furnished,Akinmoorin,169921
237,2,3,1,3,no,yes,yes,yes,no,yes,semi-furnished,Akinmoorin,175509
155,2,2,1,2,no,no,yes,no,yes,no,semi-furnished,Iroko,156031
262,1,2,1,3,yes,yes,no,yes,yes,yes,unfurnished,Iresa-Apa,158338
240,1,2,2,3,no,yes,yes,yes,no,yes,semi-furnished,Iresa-Apa,170430
216,2,1,1,3,yes,no,no,yes,yes,yes,unfurnished,Erunmu,153477
197,5,2,1,2,yes,yes,yes,yes,no,yes,semi-furnished,Ayete,207355
148,5,1,2,0,yes,no,no,yes,no,no,semi-furnished,Iseyin,187818
374,2,3,1,3,yes,no,no,yes,no,no,unfurnished,Igbeti,168845
115,5,2,2,3,no,no,no,no,yes,yes,furnished,Iresa-Apa,204036
199,2,2,1,1,yes,yes,no,no,yes,yes,furnished,Igbeti,172012
329,3,1,1,3,no,yes,yes,yes,no,yes,furnished,Ago-Amodu,187700
327,3,3,2,2,yes,no,no,no,no,no,semi-furnished,Jobele,189380
100,2,1,1,2,no,yes,no,yes,yes,yes,unfurnished,Otu,152623
240,2,1,2,2,no,yes,yes,no,yes,yes,unfurnished,Akinmoorin,148772
107,2,3,1,2,no,yes,yes,no,no,no,semi-furnished,Oyo,160183
84,2,2,2,0,no,no,no,no,no,yes,unfurnished,Eruwa,145955
373,4,3,2,2,no,yes,yes,yes,no,no,furnished,Otu,206684
233,4,2,2,1,yes,no,no,yes,yes,no,semi-furnished,Iresa-Adu,183988
137,4,2,1,2,no,yes,no,no,yes,no,unfurnished,Okeho,172888
306,4,3,1,2,no,yes,yes,yes,yes,yes,semi-furnished,Igbo-Ora,206469
376,4,1,1,3,yes,yes,yes,yes,no,no,semi-furnished,Okeho,181851
347,2,3,2,2,yes,yes,yes,no,yes,no,semi-furnished,Ibadan,191319
87,5,3,1,3,no,no,no,no,yes,no,unfurnished,Fiditi,194584
95,1,3,1,2,yes,yes,no,yes,no,no,semi-furnished,Ayete,159913
207,3,1,1,2,yes,no,yes,no,no,no,semi-furnished,Erunmu,154261
268,4,1,1,3,no,no,no,yes,no,no,unfurnished,Kisi (Kishi),174714
292,2,2,1,3,no,no,no,no,yes,no,semi-furnished,Erunmu,168559
113,1,3,1,1,no,yes,yes,yes,no,no,semi-furnished,Sepeteri,153545
187,3,2,1,2,yes,yes,no,yes,no,no,semi-furnished,Ogbomosho,174062
327,4,3,1,1,yes,no,no,yes,no,yes,furnished,Ogbomosho,187076
382,5,3,1,0,yes,no,no,no,no,no,unfurnished,Eruwa,173302
331,5,3,2,2,yes,no,yes,yes,yes,yes,furnished,Oyo,226878
125,4,1,2,1,yes,yes,no,yes,no,yes,unfurnished,Jobele,182432
349,2,2,1,1,no,yes,yes,no,yes,yes,semi-furnished,Ado-Awaye,159820
252,1,3,2,2,yes,no,yes,yes,no,no,semi-furnished,Otu,170400
243,1,2,1,3,yes,no,no,yes,no,yes,unfurnished,Ogbomosho,151455
301,1,3,2,3,no,no,yes,yes,no,no,unfurnished,Akinmoorin,167087
334,5,2,1,3,no,no,yes,yes,no,no,semi-furnished,Otu,199714
383,4,1,1,3,yes,yes,yes,yes,yes,yes,furnished,Sepeteri,207026
144,5,3,1,3,no,no,no,no,yes,yes,unfurnished,Ado-Awaye,199509
311,5,3,2,3,yes,yes,yes,no,yes,yes,semi-furnished,Fiditi,223855
146,4,2,2,1,yes,yes,yes,yes,no,yes,semi-furnished,Igboho,184991
232,2,1,1,3,no,no,yes,no,yes,no,semi-furnished,Ibadan,158888
172,5,1,1,3,no,yes,no,yes,no,no,unfurnished,Ilora,179148
381,1,2,2,2,no,no,yes,no,yes,yes,unfurnished,Sepeteri,158992
397,2,3,2,1,yes,yes,no,yes,yes,yes,unfurnished,Akinmoorin,167851
138,1,3,1,3,yes,no,yes,yes,yes,yes,semi-furnished,Ilora,172121
187,3,1,1,0,no,yes,no,yes,yes,no,furnished,Iresa-Apa,162256
87,1,3,2,2,no,yes,yes,yes,yes,yes,semi-furnished,Ago-Amodu,165468
240,4,2,1,2,yes,no,no,no,yes,yes,semi-furnished,Ado-Awaye,194286
120,2,3,1,0,no,no,yes,yes,yes,no,semi-furnished,Ago-Amodu,158258
197,1,1,1,3,yes,no,no,yes,yes,no,unfurnished,Igboho,134371
375,2,1,1,1,no,yes,yes,yes,yes,yes,furnished,Ayete,164351
292,1,3,1,0,yes,no,yes,no,no,yes,semi-furnished,Kisi (Kishi),148118
152,5,2,2,1,no,no,no,no,yes,yes,furnished,Lanlate,192894
102,3,2,1,0,no,no,no,yes,no,yes,semi-furnished,Akinmoorin,160345
86,4,1,2,0,yes,yes,no,yes,yes,no,semi-furnished,Iresa-Apa,188256
205,3,1,1,1,no,yes,no,no,no,no,semi-furnished,Ibadan,164463
192,5,2,1,1,no,no,yes,yes,yes,yes,semi-furnished,Iresa-Adu,190557
313,3,2,2,2,yes,yes,yes,no,no,yes,semi-furnished,Alabata,179878
203,5,3,1,1,no,no,no,yes,yes,yes,unfurnished,Iresa-Adu,194988
188,4,1,1,0,yes,yes,no,yes,no,yes,furnished,Iroko,190270
121,2,1,1,1,yes,yes,no,yes,no,yes,furnished,Eruwa,165319
171,5,3,1,2,no,yes,no,yes,yes,yes,furnished,Iresa-Apa,204006
293,1,2,1,0,yes,yes,no,no,yes,yes,unfurnished,Iseyin,146703
143,3,1,2,2,no,yes,yes,no,no,yes,semi-furnished,Kisi (Kishi),177574
84,1,1,2,1,no,no,yes,yes,yes,no,semi-furnished,Iroko,145349
307,3,1,2,3,yes,yes,yes,yes,no,yes,furnished,Ago-Amodu,184071
258,5,2,1,1,no,yes,yes,yes,yes,no,furnished,Ilora,211793
195,5,1,1,0,yes,no,no,yes,yes,no,furnished,Iresa-Adu,193299
268,2,2,1,1,yes,yes,no,no,no,no,semi-furnished,Otu,167723
283,2,1,2,2,no,no,yes,no,yes,yes,furnished,Ago-Amodu,169918
361,1,3,2,2,yes,yes,no,yes,yes,yes,furnished,Saki,182764
215,5,1,1,0,no,yes,no,yes,no,yes,unfurnished,Oyo,178818
339,3,3,2,2,no,no,yes,yes,no,no,unfurnished,Alabata,183209
202,2,1,1,1,no,no,no,no,no,no,semi-furnished,Ayete,146334
263,4,2,1,2,no,yes,no,no,no,yes,furnished,Igangan,181095
310,5,3,1,0,yes,no,yes,yes,yes,yes,unfurnished,Ado-Awaye,200611
110,1,3,1,3,no,no,no,no,no,no,semi-furnished,Lalupon,149105
132,4,1,1,2,no,no,no,yes,yes,no,semi-furnished,Ago-Amodu,170587
206,3,1,2,0,yes,yes,yes,yes,no,yes,semi-furnished,Ago-Amodu,166197
293,1,3,2,1,no,yes,no,yes,no,yes,unfurnished,Iresa-Apa,153283
200,1,3,1,0,yes,no,no,no,no,no,furnished,Ado-Awaye,157380
162,1,2,2,3,no,yes,yes,yes,no,yes,semi-furnished,Alabata,165901
296,2,3,1,0,yes,yes,yes,yes,yes,no,furnished,Sepeteri,184198
360,1,1,2,2,yes,no,yes,no,yes,yes,semi-furnished,Tede,162006
107,1,3,1,3,no,no,no,yes,no,yes,furnished,Lanlate,169859
289,5,1,2,2,no,no,yes,yes,no,yes,semi-furnished,Akinmoorin,182450
179,5,3,1,0,no,yes,no,no,yes,no,semi-furnished,Ogbomosho,198258
228,4,2,2,0,no,yes,no,yes,yes,yes,unfurnished,Sepeteri,173353
133,2,1,2,2,yes,no,no,yes,yes,no,semi-furnished,Igangan,160681
217,3,1,1,2,no,yes,no,no,no,no,unfurnished,Kisi (Kishi),144486
267,2,2,1,3,yes,no,no,yes,yes,no,semi-furnished,Fiditi,162201
260,2,3,1,1,yes,no,yes,no,yes,no,unfurnished,Jobele,160524
134,2,3,2,0,no,no,no,no,yes,yes,unfurnished,Eruwa,167261
343,1,3,1,3,no,yes,no,yes,no,no,furnished,Alabata,167395
236,2,2,2,0,yes,no,yes,no,no,no,semi-furnished,Igbo-Ora,150810
212,4,2,1,2,no,no,no,yes,yes,yes,semi-furnished,Fiditi,183661
105,1,2,1,0,yes,yes,yes,yes,no,no,furnished,Iresa-Apa,167903
128,4,2,2,1,no,yes,yes,yes,yes,no,semi-furnished,Ayete,188608
84,4,1,1,3,no,yes,no,no,yes,no,furnished,Alabata,180840
125,5,2,2,1,no,no,no,no,no,no,unfurnished,Erunmu,172710
85,5,1,1,3,yes,yes,no,yes,yes,no,furnished,Iresa-Apa,204180
149,1,3,2,3,no,no,yes,no,no,yes,furnished,Saki,168931
390,2,2,2,3,no,yes,yes,yes,yes,no,unfurnished,Kisi (Kishi),173072
324,2,2,1,3,yes,no,no,no,no,no,furnished,Erunmu,172094
163,2,2,1,1,no,yes,yes,no,no,yes,semi-furnished,Kisi (Kishi),168416
331,2,3,2,3,yes,no,yes,yes,yes,yes,furnished,Fiditi,202715
252,2,1,2,3,yes,yes,no,yes,yes,no,unfurnished,Alabata,162431
196,3,3,1,2,yes,no,no,yes,no,yes,unfurnished,Igbeti,181056
170,2,1,2,0,no,no,yes,no,no,yes,semi-furnished,Iresa-Adu,150106
184,5,2,1,0,no,no,no,yes,yes,yes,unfurnished,Kisi (Kishi),172791
228,3,2,1,2,yes,no,yes,yes,yes,yes,semi-furnished,Igbo-Ora,178952
211,2,3,2,3,yes,yes,no,yes,no,yes,furnished,Lalupon,192812
350,3,1,1,2,yes,no,yes,no,yes,yes,semi-furnished,Alabata,181741
